X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-94.149054,36.3313,15137,"ROGERS, AR",1,WM Supercenter,Retail,1,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,5,Open,,Y,Y,1,No,,Yes,Available
-94.979814,35.888807,15138,TAHLEQUAH OK,10,WM Supercenter,Retail,1,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,5,Open,,Y,Y,10,No,,No,Available
-94.224844,36.368173,15139,"BENTONVILLE, AR",100,WM Supercenter,Retail,1,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,5,Open,,Y,Y,100,No,Not Available,No,Not Available
-97.477003,25.925142,15140,BROWNSVILLE TX,1000,WM Supercenter,Retail,1,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,5,Open,,Y,Y,1000,No,,No,Available
-104.664898,38.232316,15141,"PUEBLO, CO",1001,WM Supercenter,Retail,1,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,5,Open,,Y,Y,1001,No,Available,No,Available
-87.130708,39.035877,15142,LINTON IN,1002,WM Supercenter,Retail,1,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,5,Open,N,Y,Y,1002,No,,No,
-88.563423,41.652922,15143,PLANO IL,1003,WM Supercenter,Retail,1,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,5,Open,,Y,Y,1003,No,,No,Available
-82.615319,27.460219,15144,BRADENTON FL,1004,WM Supercenter,Retail,1,5315 CORTEZ RD W,BRADENTON,MANATEE,FL,34210-2814,5,Open,,Y,Y,1004,No,Available,No,Available
-92.479644,42.701631,15145,WAVERLY IA,1005,WM Supercenter,Retail,1,2700 4TH ST SW,WAVERLY,BREMER,IA,50677-4351,5,Open,N,Y,Y,1005,No,,No,Available
-83.761891,31.964712,15146,CORDELE GA,1006,WM Supercenter,Retail,1,1215 E 16TH AVE,CORDELE,CRISP,GA,31015-1543,5,Open,,Y,Y,1006,No,,Yes,
-90.348978,43.312611,15147,RICHLAND CENTER WI,1007,WM Supercenter,Retail,1,2401 US HWY 14 E,RICHLAND CENTER,RICHLAND,WI,53581-2996,5,Open,N,Y,Y,1007,No,,No,
-105.080953,40.456889,15148,"LOVELAND (N), CO",1008,WM Supercenter,Retail,1,250 W 65TH ST,LOVELAND,LARIMER,CO,80538-4668,5,Open,,Y,Y,1008,No,,Yes,Available
-93.458514,37.127986,15149,REPUBLIC MO,1009,WM Supercenter,Retail,1,1150 US HIGHWAY 60 E,REPUBLIC,GREENE,MO,65738-1580,5,Open,,Y,Y,1009,No,Available,Yes,Available
-91.779138,37.937606,15150,ROLLA MO,101,WM Supercenter,Retail,1,500 S BISHOP AVE,ROLLA,PHELPS,MO,65401-4313,5,Open,,Y,Y,101,No,,Yes,Available
-79.738871,34.913137,15151,ROCKINGHAM NC,1010,WM Supercenter,Retail,1,720 E US HIGHWAY 74,ROCKINGHAM,RICHMOND,NC,28379-7206,5,Open,,Y,Y,1010,No,Available,Yes,Available
-81.225879,32.274896,15158,RINCON GA,1011,WM Supercenter,Retail,1,434 S COLUMBIA AVE,RINCON,EFFINGHAM,GA,31326-9079,5,Open,,Y,Y,1011,No,Available,No,Available
-88.812211,43.489266,15159,BEAVER DAM WI,1012,WM Supercenter,Retail,1,120 FRANCES LN,BEAVER DAM,DODGE,WI,53916-1165,5,Open,,Y,Y,1012,No,,No,Available
-87.431053,39.656169,15160,CLINTON IN,1013,Wal-Mart,Retail,1,1795 E STATE ROAD 163,CLINTON,VERMILLION,IN,47842-7327,5,Open,,Y,Y,1013,No,,Yes,
-94.367005,39.046131,15161,INDEPENDENCE MO,1014,WM Supercenter,Retail,1,4000 S BOLGER RD,INDEPENDENCE,JACKSON,MO,64055-6776,5,Open,,Y,Y,1014,No,Available,No,Available
-106.565909,31.836148,15162,"EL PASO, TX",1015,WM Supercenter,Retail,1,7555 N MESA ST,EL PASO,EL PASO,TX,79912-3505,5,Open,,Y,Y,1015,No,Available,No,Available
-90.818314,29.809527,15163,THIBODAUX LA,1016,WM Supercenter,Retail,1,410 N CANAL BLVD,THIBODAUX,LAFOURCHE,LA,70301-2956,5,Open,,Y,Y,1016,No,Available,No,Available
-80.226193,33.700301,15164,MANNING SC,1017,WM Supercenter,Retail,1,2010 PAXVILLE HWY,MANNING,CLARENDON,SC,29102-6434,5,Open,,Y,Y,1017,No,,Yes,Available
-83.177707,32.178956,15165,EASTMAN GA,1018,WM Supercenter,Retail,1,1099 INDIAN DR,EASTMAN,DODGE,GA,31023-7663,5,Open,N,Y,Y,1018,No,Not Available,No,Not Available
-105.191452,38.448662,15166,CANON CITY CO,1019,WM Supercenter,Retail,1,3105 E US HIGHWAY 50,CANON CITY,FREMONT,CO,81212-2797,5,Open,,Y,Y,1019,No,,No,Available
-91.549053,34.477058,15167,STUTTGART AR,102,WM Supercenter,Retail,1,406 E 22ND ST,STUTTGART,ARKANSAS,AR,72160-9006,5,Open,,Y,Y,102,No,,Yes,
-93.325529,43.664047,15168,ALBERT LEA MN,1020,WM Supercenter,Retail,1,1550 BLAKE AVE,ALBERT LEA,FREEBORN,MN,56007-6304,5,Open,,Y,Y,1020,No,,Yes,Available
-91.142661,38.823341,15169,WARRENTON MO,1021,WM Supercenter,Retail,1,500 WARREN COUNTY CTR,WARRENTON,WARREN,MO,63383-3023,5,Open,,Y,Y,1021,No,,Yes,Available
-95.345487,32.351191,15170,TYLER (W) TX,1022,WM Supercenter,Retail,1,3820 STATE HIGHWAY 64 W,TYLER,SMITH,TX,75704-6924,5,Open,,Y,Y,1022,No,Not Available,No,Not Available
-80.881085,36.692631,15171,GALAX VA,1023,WM Supercenter,Retail,1,1140 E STUART DR,GALAX,GALAX CITY,VA,24333-2630,5,Open,,Y,Y,1023,No,,No,Available
-82.330518,32.588146,15172,SWAINSBORO GA,1024,WM Supercenter,Retail,1,414 S MAIN ST,SWAINSBORO,EMANUEL,GA,30401-3676,5,Open,,Y,Y,1024,No,,No,Available
-90.473346,31.263464,15173,MCCOMB MS,1025,WM Supercenter,Retail,1,1608 VETERANS BLVD,MCCOMB,PIKE,MS,39648-2031,5,Open,,Y,Y,1025,No,Not Available,Yes,Not Available
-86.515065,38.865394,15174,BEDFORD IN,1026,WM Supercenter,Retail,1,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,5,Open,,Y,Y,1026,No,,No,Not Available
-80.622822,35.388921,15175,CONCORD NC,1027,WM Supercenter,Retail,1,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,5,Open,,Y,Y,1027,No,,No,Available
-89.584962,40.683757,15176,"EAST PEORIA, IL",1028,WM Supercenter,Retail,1,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,5,Open,,Y,Y,1028,No,Available,Yes,Available
-82.549992,28.762864,15177,HOMOSASSA FL,1029,WM Supercenter,Retail,1,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,2,Open,,Y,Y,1029,No,,No,Available
-96.921743,35.386756,15178,SHAWNEE OK,103,WM Supercenter,Retail,1,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,5,Open,,Y,Y,103,No,,No,Available
-80.784758,34.734251,15179,LANCASTER SC,1030,WM Supercenter,Retail,1,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,5,Open,,Y,Y,1030,Yes,Available,Yes,Available
-85.646273,30.226286,15181,PANAMA CITY FL,1032,WM Supercenter,Retail,1,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,5,Open,,Y,Y,1032,No,Available,No,Available
-85.864252,38.956427,15182,SEYMOUR IN,1033,WM Supercenter,Retail,1,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,5,Open,,Y,Y,1033,No,,No,Available
-81.529969,35.277359,15183,SHELBY NC,1034,WM Supercenter,Retail,1,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,5,Open,,Y,Y,1034,No,Available,No,Available
-81.984941,34.933291,15184,SPARTANBURG SC,1035,WM Supercenter,Retail,1,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,5,Open,,Y,Y,1035,No,Not Available,No,Available
-81.899506,35.335022,15185,"FOREST CITY, NC",1036,WM Supercenter,Retail,1,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,5,Open,,Y,Y,1036,Yes,,Yes,Available
-80.153384,33.034922,15186,SUMMERVILLE SC,1037,WM Supercenter,Retail,1,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,5,Open,,Y,Y,1037,No,Available,No,Available
-93.509937,44.097477,15187,WASECA MN,1038,WM Supercenter,Retail,1,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,5,Open,,Y,Y,1038,No,,No,
-80.618467,36.471908,15188,MOUNT AIRY NC,1039,WM Supercenter,Retail,1,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,5,Open,,Y,Y,1039,No,,No,Available
-88.747912,35.876169,15189,MILAN TN,104,WM Supercenter,Retail,1,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,5,Open,,Y,Y,104,No,,No,Not Available
-95.651709,29.876983,15190,HOUSTON (SPENCER) TX,1040,WM Supercenter,Retail,1,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,5,Open,,Y,Y,1040,No,Available,No,Available
-97.987763,26.174739,15191,WESLACO TX,1041,WM Supercenter,Retail,1,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,5,Open,,Y,Y,1041,No,,No,Available
-97.332499,30.103391,15192,BASTROP TX,1042,WM Supercenter,Retail,1,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,5,Open,,Y,Y,1042,No,,Yes,Not Available
-97.248785,34.736656,15193,PAULS VALLEY OK,1043,WM Supercenter,Retail,1,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,5,Open,,Y,Y,1043,No,,No,
-95.260155,32.298043,15194,TYLER TX,1044,WM Supercenter,Retail,1,5050 TROUP HWY,TYLER,SMITH,TX,75707-1916,5,Open,,Y,Y,1044,No,Available,No,Available
-105.105136,40.005992,15195,LAFAYETTE CO,1045,WM Supercenter,Retail,1,745 US HIGHWAY 287,LAFAYETTE,BOULDER,CO,80026-8955,5,Open,,Y,Y,1045,No,,No,Available
-99.848551,28.542786,15196,CARRIZO SPRINGS TX,1046,Wal-Mart,Retail,1,2214 N 1ST ST,CARRIZO SPRINGS,DIMMIT,TX,78834-2036,2,Open,,Y,Y,1046,No,,Yes,
-84.340307,33.589701,15197,MORROW GA,1047,WM Supercenter,Retail,1,6065 JONESBORO RD,MORROW,CLAYTON,GA,30260-1106,5,Open,,Y,Y,1047,No,,Yes,
-84.171753,36.720647,15198,WILLIAMSBURG KY,1048,WM Supercenter,Retail,1,589 W HIGHWAY 92,WILLIAMSBURG,WHITLEY,KY,40769-1684,5,Open,,Y,Y,1048,No,,No,
-88.501997,34.910102,15200,CORINTH MS,105,WM Supercenter,Retail,1,2301 S HARPER RD,CORINTH,ALCORN,MS,38834-6771,5,Open,,Y,Y,105,Yes,Available,Yes,Available
-102.361308,33.596282,15202,LEVELLAND TX,1051,WM Supercenter,Retail,1,407 E STATE ROAD 114,LEVELLAND,HOCKLEY,TX,79336-2629,5,Open,,Y,Y,1051,No,,Yes,Available
-87.808643,33.731681,15203,FAYETTE AL,1052,WM Supercenter,Retail,1,3186 HIGHWAY 171 N,FAYETTE,FAYETTE,AL,35555-6172,5,Open,,Y,Y,1052,No,,Yes,
-85.372502,38.394667,15204,LA GRANGE KY,1053,WM Supercenter,Retail,1,1015 NEW MOODY LN,LA GRANGE,OLDHAM,KY,40031-9142,5,Open,,Y,Y,1053,No,,Yes,Available
-95.129228,39.540477,15205,ATCHISON KS,1054,WM Supercenter,Retail,1,1920 HIGHWAY 73,ATCHISON,ATCHISON,KS,66002-5102,5,Open,,Y,Y,1054,No,,No,Available
-96.642563,32.962386,15206,GARLAND TX,1055,WM Supercenter,Retail,1,5302 N GARLAND AVE,GARLAND,DALLAS,TX,75040-2715,5,Open,,Y,Y,1055,No,Not Available,No,Not Available
-97.606467,35.293887,15207,NEWCASTLE OK,1056,WM Supercenter,Retail,1,3300 TRI CITY DR,NEWCASTLE,MCCLAIN,OK,73065-6599,5,Open,,Y,Y,1056,No,Not Available,Yes,Not Available
-85.931333,32.5659197,15209,TALLASSEE AL EF,1057,WM Supercenter,Retail,1,2190 GILMER AVENUE,TALLASSEE,ELMORE,AL,36078-7123,5,Open,,Y,Y,1057,No,,No,
-107.863399,38.449068,15212,MONTROSE CO,1058,WM Supercenter,Retail,1,16750 S TOWNSEND AVE,MONTROSE,MONTROSE,CO,81401-5410,5,Open,,Y,Y,1058,No,,No,Available
-89.486173,32.338638,15213,FOREST MS,1059,WM Supercenter,Retail,1,1309 HIGHWAY 35 S,FOREST,SCOTT,MS,39074-5010,5,Open,,Y,Y,1059,No,,No,Available
-88.899972,36.517096,15218,FULTON KY,106,WM Supercenter,Retail,1,1405 MIDDLE RD,FULTON,FULTON,KY,42041-7905,5,Open,,Y,Y,106,No,,Yes,
-81.705129,35.727153,15219,MORGANTON NC,1060,WM Supercenter,Retail,1,G120 MORGANTON HEIGHTS BLVD,MORGANTON,BURKE,NC,28655-5210,5,Open,,Y,Y,1060,No,Available,No,Available
-82.586586,31.861931,15220,HAZELHURST GA,1061,WM Supercenter,Retail,1,136 E JARMAN ST,HAZLEHURST,JEFF DAVIS,GA,31539-6130,5,Open,,Y,Y,1061,No,,No,
-95.159213,29.551863,15225,WEBSTER TX,1062,WM Supercenter,Retail,1,150 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6500,5,Open,,Y,Y,1062,No,Available,No,Available
-85.899381,31.051466,15226,GENEVA AL,1063,Wal-Mart,Retail,1,1608 W MAGNOLIA AVE,GENEVA,GENEVA,AL,36340-1237,2,Open,,Y,Y,1063,No,,No,
-81.530101,35.928521,15227,LENOIR NC,1064,WM Supercenter,Retail,1,935 BLOWING ROCK BLVD,LENOIR,CALDWELL,NC,28645-3785,5,Open,,Y,Y,1064,No,Available,No,Available
-93.614652,33.680862,15232,HOPE AR,1065,WM Supercenter,Retail,1,2400 N HERVEY ST,HOPE,HEMPSTEAD,AR,71801-8418,5,Open,,Y,Y,1065,No,,No,Available
-88.518673,30.386629,15242,PASCAGOULA MS,1066,WM Supercenter,Retail,1,4253 DENNY AVE,PASCAGOULA,JACKSON,MS,39581-5502,5,Open,,Y,Y,1066,No,Available,No,Available
-96.938003,29.458551,15251,HALLETSVILLE TX,1067,Wal-Mart,Retail,1,1506 N TEXANA ST,HALLETTSVILLE,LAVACA,TX,77964-2036,2,Open,,Y,Y,1067,No,,No,
-80.481644,27.829413,15252,SEBASTIAN FL,1068,WM Supercenter,Retail,1,2001 US HIGHWAY #1,SEBASTIAN,INDIAN RIVER,FL,32958-1615,5,Open,,Y,Y,1068,No,Available,No,Available
-89.141689,32.338879,15253,NEWTON MS,1069,WM Supercenter,Retail,1,231 EASTSIDE DR,NEWTON,NEWTON,MS,39345-8035,5,Open,,Y,Y,1069,No,,No,
-88.883693,36.355043,15254,MARTIN TN,107,WM Supercenter,Retail,1,134 COURTRIGHT RD,MARTIN,WEAKLEY,TN,38237-1606,5,Open,,Y,Y,107,No,Not Available,No,Available
-84.488214,34.656402,15255,ELLIJAY GA,1070,WM Supercenter,Retail,1,88 HIGHLAND XING,EAST ELLIJAY,GILMER,GA,30540-6052,5,Open,,Y,Y,1070,No,,Yes,Available
-90.070258,38.870509,15256,WOOD RIVER IL,1071,WM Supercenter,Retail,1,610 WESLEY DR,WOOD RIVER,MADISON,IL,62095-1894,5,Open,,Y,Y,1071,No,Available,No,Available
